Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
1,Kareem Abdul-Jabbar,273.4,1969-70,1988-89,22-41,1560,789,19,36.8,10.2,18.1,10.2,18.1,0,0,4.3,6,2.4,9.3,11.2,3.6,0.9,2.6,2.7,3,24.6,0.559,0.56,0.056,0.721,0.592,0.559,C,"LAL,MIL"
2,LeBron James,269.9,2003-04,2024-25,19-40,1546,1544,21,37.8,9.9,19.6,8.3,14.9,1.6,4.7,5.5,7.5,1.2,6.4,7.5,7.4,1.5,0.7,3.5,1.8,27.1,0.507,0.556,0.35,0.736,0.59,0.548,F-G,"CLE,LAL,MIA"
3,Wilt Chamberlain,247.3,1959-60,1972-73,23-36,1045,,13,45.8,12.1,22.5,12.1,22.5,,,5.8,11.4,,,22.9,4.4,,,,2,30.1,0.54,0.54,,0.511,0.547,0.54,C,"LAL,PHI,PHW,SFW"
4,Karl Malone,234.6,1985-86,2003-04,22-40,1476,1471,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25,0.516,0.519,0.274,0.742,0.577,0.518,F,"LAL,UTA"
5,Chris Paul,214,2005-06,2024-25,20-39,1329,1289,12,33.8,6.1,12.9,4.7,9.2,1.4,3.7,3.6,4.2,0.6,3.8,4.4,9.3,2,0.2,2.3,2.4,17.2,0.469,0.51,0.368,0.871,0.581,0.522,G,"GSW,HOU,LAC,NOH,NOK,OKC,PHO,SAS"
6,Michael Jordan,214,1984-85,2002-03,21-39,1072,1039,14,38.3,11.4,22.9,10.8,21.2,0.5,1.7,6.8,8.2,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,0.497,0.51,0.327,0.835,0.569,0.509,G-F,"CHI,WAS"
7,John Stockton,207.7,1984-85,2002-03,22-40,1504,1300,10,31.8,4.7,9.1,4.1,7.6,0.6,1.5,3.2,3.9,0.6,2.1,2.7,10.5,2.2,0.2,2.8,2.6,13.1,0.515,0.541,0.384,0.826,0.608,0.546,G,UTA
8,Tim Duncan,206.4,1997-98,2015-16,21-39,1392,1389,15,34,7.4,14.6,7.4,14.5,0,0.1,4.2,6.1,2.8,8.1,10.8,3,0.7,2.2,2.4,2.4,19,0.506,0.509,0.179,0.696,0.551,0.507,F-C,SAS
9,Dirk Nowitzki,206.3,1998-99,2018-19,20-40,1522,1460,14,33.8,7.3,15.6,6,12.2,1.3,3.4,4.8,5.4,1,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,0.471,0.496,0.38,0.879,0.577,0.512,F-C,DAL
10,Kevin Garnett,191.4,1995-96,2015-16,19-39,1462,1425,15,34.5,7.2,14.5,7.1,14,0.1,0.4,3.3,4.2,2.2,7.8,10,3.7,1.3,1.4,2.2,2.4,17.8,0.497,0.504,0.275,0.789,0.546,0.501,F-C,"BOS,BRK,MIN"
11,Oscar Robertson,189.2,1960-61,1973-74,22-35,1040,,12,42.2,9.1,18.9,9.1,18.9,,,7.4,8.8,1,7.4,7.5,9.5,1.1,0.1,,2.8,25.7,0.485,0.485,,0.838,0.564,0.485,G-F,"CIN,MIL"
12,Shaquille O'Neal,181.7,1992-93,2010-11,20-38,1207,1197,15,34.7,9.4,16.1,9.4,16.1,0,0,4.9,9.3,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,0.582,0.583,0.045,0.527,0.586,0.582,C,"BOS,CLE,LAL,MIA,ORL,PHO"
13,David Robinson,178.7,1989-90,2002-03,24-37,987,985,10,34.7,7.5,14.4,7.4,14.3,0,0.1,6.1,8.3,3.1,7.5,10.6,2.5,1.4,3,2.4,2.9,21.1,0.518,0.52,0.25,0.736,0.583,0.519,C,SAS
14,Charles Barkley,177.2,1984-85,1999-00,21-36,1073,1012,11,36.7,7.9,14.5,7.4,12.7,0.5,1.9,5.9,8.1,4,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,0.541,0.581,0.266,0.735,0.612,0.558,F,"HOU,PHI,PHO"
15,Kevin Durant,174.5,2007-08,2024-25,19-36,1108,1105,15,36.7,9.4,18.7,7.5,13.7,1.9,5,6.5,7.4,0.7,6.3,7,4.4,1.1,1.1,3.2,1.9,27.2,0.502,0.543,0.388,0.882,0.62,0.554,F-G,"BRK,GSW,OKC,PHO,SEA"
16,Reggie Miller,174.4,1987-88,2004-05,22-39,1389,1304,5,34.3,5.9,12.6,4.1,7.9,1.8,4.7,4.5,5.1,0.6,2.4,3,3,1.1,0.2,1.7,2,18.2,0.471,0.516,0.395,0.888,0.614,0.544,G-F,IND
17,Kobe Bryant,172.7,1996-97,2015-16,18-37,1346,1198,18,36.1,8.7,19.5,7.3,15.3,1.4,4.1,6.2,7.4,1.1,4.1,5.2,4.7,1.4,0.5,3,2.5,25,0.447,0.479,0.329,0.837,0.55,0.482,G-F,LAL
18,James Harden,170.7,2009-10,2024-25,20-35,1128,914,11,34.7,7.1,16.2,4.3,8.6,2.8,7.6,7.1,8.2,0.8,4.9,5.6,7.2,1.5,0.6,3.7,2.5,24,0.439,0.506,0.362,0.861,0.607,0.524,G,"BRK,HOU,LAC,OKC,PHI"
19,Moses Malone,167.1,1976-77,1994-95,21-39,1329,948,12,33.9,7.1,14.5,7.1,14.4,0,0.1,6.4,8.3,5.1,7.1,12.2,1.4,0.8,1.3,3.1,2.3,20.6,0.491,0.492,0.1,0.769,0.569,0.491,C-F,"ATL,BUF,HOU,MIL,PHI,SAS,WSB"
20,Bill Russell,163.5,1956-57,1968-69,22-34,963,,12,42.3,5.9,13.4,5.9,13.4,,,3.3,5.8,,,22.5,4.3,,,,2.7,15.1,0.44,0.44,,0.561,0.471,0.44,C,BOS
21,Hakeem Olajuwon,162.8,1984-85,2001-02,22-39,1238,1186,12,35.7,8.7,17,8.7,16.9,0,0.1,4.4,6.2,3.3,7.8,11.1,2.5,1.7,3.1,3,3.5,21.8,0.512,0.514,0.202,0.712,0.553,0.513,C,"HOU,TOR"
22,Jerry West,162.6,1960-61,1973-74,22-35,932,,14,39.2,9.7,20.4,9.7,20.4,,,7.7,9.4,1,5.7,5.8,6.7,2.6,0.7,,2.6,27,0.474,0.474,,0.814,0.55,0.474,G,LAL
23,Magic Johnson,155.8,1979-80,1995-96,20-36,906,763,11,36.7,6.9,13.2,6.5,12,0.4,1.2,5.5,6.5,1.8,5.5,7.2,11.2,1.9,0.4,3.9,2.3,19.5,0.52,0.541,0.303,0.848,0.61,0.533,G-F,LAL
24,Paul Pierce,150,1998-99,2016-17,21-39,1343,1285,10,34.2,6.5,14.5,4.9,10.2,1.6,4.3,5.2,6.4,0.8,4.8,5.6,3.5,1.3,0.6,2.6,2.7,19.7,0.445,0.478,0.368,0.806,0.568,0.5,F-G,"BOS,BRK,LAC,WAS"
25,Robert Parish,147,1976-77,1996-97,23-43,1611,1138,9,28.4,6,11.1,6,11.1,0,0,2.5,3.5,2.9,6.3,9.1,1.4,0.8,1.5,2.1,2.8,14.5,0.537,0.537,0,0.721,0.571,0.537,C,"BOS,CHH,CHI,GSW"
26,Larry Bird,145.8,1979-80,1991-92,23-35,897,870,12,38.4,9.6,19.3,8.9,17.4,0.7,1.9,4.4,5,2,8,10,6.3,1.7,0.8,3.1,2.5,24.3,0.496,0.509,0.376,0.886,0.564,0.514,F,BOS
27,Gary Payton,145.5,1990-91,2006-07,22-38,1335,1233,9,35.3,6.5,14,5.7,11.3,0.8,2.7,2.4,3.4,1,2.9,3.9,6.7,1.8,0.2,2.3,2.4,16.3,0.466,0.501,0.317,0.729,0.528,0.496,G,"BOS,LAL,MIA,MIL,SEA"
28,Ray Allen,145.1,1996-97,2013-14,21-38,1300,1149,10,35.6,6.6,14.6,4.3,8.9,2.3,5.7,3.4,3.8,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,0.452,0.485,0.4,0.894,0.58,0.53,G,"BOS,MIA,MIL,SEA"
29,Pau Gasol,144.1,2001-02,2018-19,21-38,1226,1150,6,33.4,6.5,12.8,6.4,12.4,0.1,0.4,3.9,5.1,2.5,6.7,9.2,3.2,0.5,1.6,2.2,2.1,17,0.507,0.512,0.368,0.753,0.565,0.513,C-F,"CHI,LAL,MEM,MIL,SAS"
30,Dolph Schayes,142.4,1949-50,1963-64,21-35,996,,12,34.4,5.9,15.5,5.9,15.5,,,6.7,7.9,,,12.1,3.1,,,,3.4,18.5,0.38,0.38,,0.849,0.488,0.38,F-C,"PHI,SYR"
31,Dwight Howard,141.7,2004-05,2021-22,19-36,1242,1078,8,31.8,5.7,9.7,5.7,9.6,0,0.1,4.3,7.6,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7,0.587,0.59,0.214,0.567,0.602,0.588,C,"ATL,CHO,HOU,LAL,ORL,PHI,WAS"
32,Stephen Curry,140.3,2009-10,2024-25,21-36,1006,1000,11,34.1,8.4,17.9,4.5,8.6,3.9,9.3,3.9,4.3,0.7,4.1,4.7,6.4,1.5,0.3,3.1,2.3,24.7,0.471,0.523,0.424,0.911,0.625,0.582,G,GSW
33,Jason Kidd,138.6,1994-95,2012-13,21-39,1391,1350,10,36,4.5,11.2,3,7.1,1.4,4.1,2.2,2.8,1.3,5,6.3,8.7,1.9,0.3,2.9,1.8,12.6,0.4,0.429,0.349,0.785,0.507,0.464,G,"DAL,NJN,NYK,PHO"
34,Bob Pettit,136,1954-55,1964-65,22-32,792,,11,38.8,9.3,21.3,9.3,21.3,,,7.8,10.3,,,16.2,3,,,,3.2,26.4,0.436,0.436,,0.761,0.511,0.436,F-C,"MLH,STL"
35,Clyde Drexler,135.6,1983-84,1997-98,21-35,1086,950,10,34.6,7.7,16.3,6.9,13.9,0.8,2.4,4.3,5.5,2.4,3.7,6.1,5.6,2,0.7,2.7,3,20.4,0.472,0.498,0.318,0.788,0.547,0.495,G,"HOU,POR"
36,Adrian Dantley,134.2,1976-77,1990-91,21-35,955,546,6,35.8,8.6,15.8,8.5,15.8,0,0.1,7.2,8.7,2.3,3.4,5.7,3,1,0.2,2.9,2.7,24.3,0.54,0.541,0.171,0.818,0.617,0.54,F-G,"BUF,DAL,DET,IND,LAL,MIL,UTA"
37,John Havlicek,131.7,1962-63,1977-78,22-37,1270,,13,36.6,8.3,18.8,8.3,18.8,,,4.2,5.2,1.5,5.8,6.3,4.8,1.2,0.3,2.5,2.6,20.8,0.439,0.439,,0.815,0.492,0.439,F-G,BOS
38,Walt Bellamy,130,1961-62,1974-75,22-35,1043,245,4,37.3,7.6,14.7,7.6,14.7,,,4.9,7.8,3.4,13.4,13.7,2.4,0.7,0.6,,3.4,20.1,0.516,0.516,,0.632,0.554,0.516,C,"ATL,BAL,CHP,CHZ,DET,NOJ,NYK"
39,Steve Nash,129.7,1996-97,2013-14,22-39,1217,1053,8,31.3,5.2,10.6,3.8,7.4,1.4,3.2,2.5,2.8,0.5,2.5,3,8.5,0.7,0.1,2.9,1.6,14.3,0.49,0.518,0.428,0.904,0.605,0.556,G,"DAL,LAL,PHO"
40,Patrick Ewing,126.4,1985-86,2001-02,23-39,1183,1122,11,34.3,8.2,16.3,8.2,16.2,0,0.1,4.6,6.2,2.3,7.5,9.8,1.9,1,2.4,3,3.4,21,0.504,0.507,0.152,0.74,0.553,0.505,C-F,"NYK,ORL,SEA"
41,Vince Carter,125.3,1998-99,2019-20,22-43,1541,982,8,30.1,6,13.8,4.5,9.8,1.5,4,3.1,3.9,1.1,3.2,4.3,3.1,1,0.6,1.7,2.6,16.7,0.435,0.462,0.371,0.798,0.536,0.489,G-F,"ATL,DAL,MEM,NJN,ORL,PHO,SAC,TOR"
42,Scottie Pippen,125.1,1987-88,2003-04,22-38,1178,1053,7,34.9,6.3,13.3,5.5,10.8,0.8,2.5,2.7,3.8,1.8,4.6,6.4,5.2,2,0.8,2.8,2.8,16.1,0.473,0.507,0.326,0.704,0.536,0.504,F-G,"CHI,HOU,POR"
43,Shawn Marion,124.9,1999-00,2014-15,21-36,1163,1062,4,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,0.484,0.513,0.331,0.81,0.542,0.51,F,"CLE,DAL,MIA,PHO,TOR"
44,Nikola Jokić,124.8,2015-16,2024-25,20-29,729,688,7,31.6,8.3,14.8,7.2,11.8,1.1,3,3.9,4.7,2.7,8.2,10.9,7.2,1.3,0.7,2.9,2.7,21.6,0.559,0.61,0.36,0.827,0.638,0.595,C-F,DEN
45,Chauncey Billups,120.8,1997-98,2013-14,21-37,1043,937,5,31.6,4.5,10.9,2.8,6.4,1.8,4.5,4.3,4.8,0.5,2.4,2.9,5.4,1,0.2,2,2.1,15.2,0.415,0.435,0.387,0.894,0.58,0.495,G,"BOS,DEN,DET,LAC,MIN,NYK,TOR"
46,Elvin Hayes,120.8,1968-69,1983-84,23-38,1303,129,12,38.4,8.4,18.6,8.4,18.6,0,0.1,4.1,6.1,3.1,10.4,12.5,1.8,1,2,2.4,3.2,21,0.452,0.453,0.147,0.67,0.491,0.452,F-C,"BAL,CAP,HOU,SDR,WSB"
47,Dwyane Wade,120.7,2003-04,2018-19,22-37,1054,909,13,33.9,8,16.7,7.5,14.9,0.5,1.8,5.4,7.1,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22,0.48,0.502,0.293,0.765,0.554,0.495,G,"CHI,CLE,MIA"
48,Buck Williams,120.1,1981-82,1997-98,21-37,1307,1140,3,32.5,4.9,8.9,4.9,8.9,0,0,3,4.6,3.5,6.5,10,1.3,0.8,0.8,2.1,3.3,12.8,0.549,0.55,0.167,0.664,0.587,0.549,F-C,"NJN,NYK,POR"
49,Jimmy Butler,119.8,2011-12,2024-25,22-35,847,742,6,33.1,5.9,12.6,5.1,10.2,0.8,2.4,5.6,6.7,1.6,3.7,5.3,4.3,1.6,0.4,1.6,1.4,18.3,0.471,0.505,0.328,0.843,0.589,0.503,F-G,"CHI,GSW,MIA,MIN,PHI"
50,Anthony Davis,118.7,2012-13,2024-25,19-31,779,772,10,34.5,9,17.3,8.6,15.7,0.5,1.6,5.6,7.1,2.7,8,10.7,2.5,1.3,2.3,2,2.3,24.2,0.523,0.546,0.298,0.795,0.593,0.537,F-C,"DAL,LAL,NOH,NOP"
51,Horace Grant,118.2,1987-88,2003-04,22-38,1165,1037,1,33.2,4.7,9.2,4.7,9.1,0,0.1,1.8,2.6,3,5.1,8.1,2.2,1,1,1.1,2.4,11.2,0.509,0.511,0.063,0.692,0.54,0.509,F-C,"CHI,LAL,ORL,SEA"
52,Dominique Wilkins,117.5,1982-83,1998-99,23-39,1074,995,9,35.5,9.3,20.1,8.6,18,0.7,2.1,5.6,6.9,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8,0.461,0.478,0.319,0.811,0.536,0.478,F-G,"ATL,BOS,LAC,ORL,SAS"
53,Chet Walker,117.4,1962-63,1974-75,22-34,1032,396,7,32.4,6.7,14.2,6.7,14.2,,,4.9,6.2,1.6,6.8,7.1,2.1,0.7,0.1,,2.6,18.2,0.47,0.47,,0.796,0.54,0.47,F-G,"CHI,PHI,SYR"
54,Damian Lillard,117.2,2012-13,2024-25,22-34,890,890,9,36.3,8.1,18.4,5,10,3.1,8.4,5.8,6.5,0.6,3.7,4.3,6.8,1,0.3,2.8,1.9,25.1,0.438,0.494,0.371,0.899,0.59,0.523,G,"MIL,POR"
55,Bob Lanier,117.1,1970-71,1983-84,22-35,959,179,8,33.5,8.1,15.7,8.1,15.7,0,0,3.9,5.1,2.6,8.2,10.1,3.1,1.1,1.5,2.6,3.2,20.1,0.514,0.515,0.154,0.767,0.559,0.514,C,"DET,MIL"
56,Dikembe Mutombo,117,1991-92,2008-09,25-42,1196,997,8,30.8,3.5,6.7,3.5,6.7,0,0,2.8,4.1,3.2,7.1,10.3,1,0.4,2.8,1.8,2.8,9.8,0.518,0.518,0,0.684,0.573,0.518,C,"ATL,DEN,HOU,NJN,NYK,PHI"
57,Giannis Antetokounmpo,116.2,2013-14,2024-25,19-30,838,773,9,32.8,8.7,15.9,8.1,13.6,0.6,2.2,5.7,8.2,1.9,8,9.9,4.9,1.1,1.2,3,3,23.8,0.549,0.593,0.285,0.693,0.61,0.57,F-G,MIL
58,LaMarcus Aldridge,115.7,2006-07,2021-22,21-36,1076,997,7,33.7,7.7,15.7,7.5,15,0.2,0.7,3.4,4.2,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1,0.493,0.5,0.32,0.813,0.544,0.499,F-C,"BRK,POR,SAS"
59,Al Horford,115.6,2007-08,2024-25,21-38,1125,1067,5,31.6,5.3,10.5,4.5,8.2,0.8,2.2,1.4,1.9,1.9,5.9,7.9,3.2,0.8,1.1,1.4,2.1,12.9,0.51,0.546,0.377,0.762,0.573,0.55,C-F,"ATL,BOS,OKC,PHI"
60,Bailey Howell,114.8,1959-60,1970-71,23-34,950,6,6,32.2,6.9,14.3,6.9,14.3,,,5,6.6,,,9.9,2,,,,3.7,18.7,0.48,0.48,,0.762,0.544,0.48,F,"BAL,BOS,DET,PHI"
61,Walt Frazier,113.5,1967-68,1979-80,22-34,825,666,7,37.5,7.4,15.2,7.4,15.2,0,0.3,4,5.1,1.1,5.4,5.9,6.1,1.9,0.2,2.1,2.6,18.9,0.49,0.49,0,0.786,0.542,0.49,G,"CLE,NYK"
62,Kevin McHale,113,1980-81,1992-93,23-35,971,400,7,31,7,12.7,7,12.5,0,0.2,3.7,4.7,2.4,4.9,7.3,1.7,0.4,1.7,1.9,2.8,17.9,0.554,0.558,0.261,0.798,0.605,0.555,F-C,BOS
63,Rudy Gobert,112.9,2013-14,2024-25,21-32,812,720,3,30.6,4.7,7.1,4.7,7.1,0,0,3.2,5,3.4,8.3,11.7,1.4,0.7,2.1,1.6,2.7,12.6,0.655,0.657,0,0.641,0.672,0.655,C,"MIN,UTA"
64,Kyle Lowry,112.7,2006-07,2024-25,20-38,1171,898,6,31.3,4.5,10.6,2.6,5.5,1.9,5.1,3.1,3.8,0.8,3.5,4.2,6.1,1.3,0.3,2.2,2.7,14,0.423,0.475,0.368,0.815,0.569,0.512,G,"HOU,MEM,MIA,PHI,TOR"
65,Russell Westbrook,112.6,2008-09,2024-25,20-36,1215,1066,9,33.4,7.7,17.5,6.6,13.9,1.1,3.6,4.9,6.3,1.6,5.5,7.1,8.1,1.6,0.3,3.9,2.6,21.3,0.439,0.474,0.305,0.773,0.526,0.47,G,"DEN,HOU,LAC,LAL,OKC,WAS"
66,Jack Sikma,112.5,1977-78,1990-91,22-35,1107,985,7,33.4,5.8,12.5,5.6,11.9,0.2,0.7,3.9,4.6,2.3,7.5,9.8,3.2,1,0.9,2.3,3.5,15.6,0.464,0.47,0.328,0.849,0.54,0.471,C-F,"MIL,SEA"
