Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
133,George Gervin,88.1,1976-77,1985-86,24-33,791,623,9,33.5,10.2,19.9,10.1,19.6,0.1,0.5,5.7,6.8,1.5,3.1,4.6,2.8,1.2,0.8,3,2.9,26.2,0.511,0.514,0.297,0.844,0.572,0.513,G-F,"CHI,SAS"
134,Antawn Jamison,87.8,1998-99,2013-14,22-37,1083,864,2,34.8,7.1,15.7,6,12.6,1.1,3.1,3.3,4.5,2.4,5.2,7.5,1.6,1,0.4,1.6,2.4,18.5,0.451,0.477,0.346,0.724,0.523,0.485,F,"CLE,DAL,GSW,LAC,LAL,WAS"
135,Sam Cassell,87.5,1993-94,2007-08,24-38,993,690,1,30,5.7,12.6,5.1,10.6,0.7,2,3.6,4.2,0.6,2.6,3.2,6,1.1,0.2,2.4,2.8,15.7,0.454,0.477,0.331,0.861,0.544,0.48,G,"BOS,DAL,HOU,LAC,MIL,MIN,NJN,PHO"
136,Dale Davis,86.9,1991-92,2006-07,22-37,1094,863,1,27.1,3.3,6.2,3.3,6.2,0,0,1.4,2.5,3,4.8,7.9,0.9,0.6,1.2,1,2.6,8,0.53,0.53,0,0.562,0.546,0.53,F-C,"DET,GSW,IND,POR"
137,Derek Harper,86.8,1983-84,1998-99,22-37,1199,883,0,31.5,5.2,11.2,4.3,8.6,0.9,2.5,2.1,2.9,0.6,1.8,2.4,5.5,1.6,0.3,1.9,2.3,13.3,0.463,0.494,0.354,0.745,0.537,0.503,G,"DAL,LAL,NYK,ORL"
138,Dave Cowens,86.3,1970-71,1982-83,22-34,766,89,8,38.6,7.5,16.3,7.5,16.3,0,0.1,2.6,3.4,3,11.6,13.6,3.8,1.1,0.9,2.2,3.8,17.6,0.46,0.46,0.071,0.783,0.496,0.46,C-F,"BOS,MIL"
139,Joe Dumars,86.2,1985-86,1998-99,22-35,1018,944,6,34.5,5.9,12.8,4.9,10.2,1,2.5,3.4,4,0.7,1.5,2.2,4.5,0.9,0.1,2,1.8,16.1,0.46,0.48,0.382,0.843,0.554,0.498,G,DET
140,David West,85.9,2003-04,2017-18,23-37,1034,742,2,28.2,5.5,11.1,5.5,10.9,0.1,0.2,2.5,3,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6,0.495,0.499,0.265,0.817,0.544,0.498,F-C,"GSW,IND,NOH,NOK,SAS"
141,Rod Strickland,85.8,1988-89,2004-05,22-38,1094,740,0,30.7,5,10.9,4.8,10.3,0.2,0.6,3.1,4.4,1.1,2.7,3.7,7.3,1.5,0.2,2.6,1.9,13.2,0.454,0.465,0.282,0.721,0.516,0.462,G,"HOU,MIA,MIN,NYK,ORL,POR,SAS,TOR,WAS,WSB"
142,Marc Gasol,85.3,2008-09,2020-21,24-36,891,866,3,32.2,5.2,10.8,4.7,9.5,0.5,1.3,3.2,4.1,1.6,5.8,7.4,3.4,0.9,1.4,2,2.9,14,0.481,0.498,0.36,0.776,0.557,0.503,C,"LAL,MEM,TOR"
143,Michael Finley,85.2,1995-96,2009-10,22-36,1103,875,2,34.4,6.1,13.7,4.8,10.2,1.3,3.5,2.2,2.7,1,3.3,4.4,2.9,0.9,0.3,1.5,1.6,15.7,0.444,0.467,0.375,0.811,0.527,0.492,G-F,"BOS,DAL,PHO,SAS"
144,Tim Hardaway,85,1989-90,2002-03,23-36,867,770,5,35.3,6.5,15.1,4.7,10.1,1.8,5,2.9,3.8,0.6,2.7,3.3,8.2,1.6,0.1,2.9,2.3,17.7,0.431,0.469,0.355,0.782,0.53,0.49,G,"DAL,DEN,GSW,IND,MIA"
145,Chris Webber,84.7,1993-94,2007-08,20-34,831,827,5,37.1,8.7,18.1,8.3,17,0.3,1.1,3,4.7,2.7,7,9.8,4.2,1.4,1.4,2.8,3.2,20.7,0.479,0.49,0.299,0.649,0.513,0.487,F-C,"DET,GSW,PHI,SAC,WAS,WSB"
146,Dale Ellis,84.7,1983-84,1999-00,23-39,1209,589,1,28.8,6.1,12.6,4.6,9.1,1.4,3.5,2.2,2.8,1.3,2.2,3.5,1.4,0.8,0.2,1.5,2.1,15.7,0.479,0.509,0.403,0.784,0.567,0.536,G-F,"CHH,DAL,DEN,MIL,SAS,SEA"
147,Calvin Murphy,84.1,1970-71,1982-83,22-34,1002,82,1,30.5,7.2,15,7.2,14.9,0,0.3,3.4,3.9,0.7,1.6,2.1,4.4,1.5,0.1,1.9,3.2,17.9,0.482,0.484,0.139,0.892,0.536,0.483,G,"HOU,SDR"
148,Steve Smith,83.7,1991-92,2004-05,22-35,942,717,1,30.6,4.9,11.1,3.7,7.7,1.2,3.4,3.3,3.8,1.2,2.1,3.2,3.1,0.8,0.3,1.8,2.4,14.3,0.44,0.476,0.358,0.845,0.556,0.494,G,"ATL,CHA,MIA,NOH,POR,SAS"
149,Tiny Archibald,83.4,1970-71,1983-84,22-35,876,268,6,35.6,6.7,14.4,6.7,14.3,0.1,0.3,5.3,6.6,0.5,1.9,2.3,7.4,1.1,0.1,2.7,2.3,18.8,0.467,0.469,0.224,0.81,0.543,0.468,G,"BOS,CIN,KCK,KCO,MIL,NYN"
150,Vern Mikkelsen,83.4,1949-50,1958-59,21-30,699,,6,32.5,5.1,12.6,5.1,12.6,,,4.2,5.5,,,9.4,2.2,,,,4,14.4,0.403,0.403,,0.766,0.478,0.403,F-C,MNL
151,Jonas Valančiūnas,83.1,2012-13,2024-25,20-32,913,839,0,25.3,5.3,9.4,5,8.6,0.3,0.8,2.4,3.1,2.7,6.6,9.4,1.4,0.4,0.9,1.6,2.8,13.2,0.56,0.579,0.345,0.793,0.615,0.574,C,"MEM,NOP,SAC,TOR,WAS"
152,Karl-Anthony Towns,83.1,2015-16,2024-25,20-29,626,626,5,34,8.5,16.1,6.7,11.8,1.7,4.3,4.4,5.2,2.8,8.3,11.1,3.2,0.8,1.2,2.7,3.4,23,0.524,0.569,0.4,0.838,0.625,0.578,C-F,"MIN,NYK"
153,Richard Jefferson,83,2001-02,2017-18,21-37,1181,809,0,29,4.4,9.4,3.5,7.1,0.9,2.3,3,3.9,0.8,3.2,4,2,0.7,0.3,1.5,2.2,12.6,0.464,0.493,0.376,0.768,0.567,0.511,F,"CLE,DAL,DEN,GSW,MIL,NJN,SAS,UTA"
154,Joe Johnson,82.9,2001-02,2021-22,20-40,1277,1091,7,34.6,6.1,13.9,4.6,9.7,1.5,4.2,2.2,2.7,0.8,3.1,4,3.9,0.8,0.2,1.9,1.8,16,0.441,0.472,0.371,0.802,0.53,0.497,G-F,"ATL,BOS,BRK,HOU,MIA,PHO,UTA"
155,Bill Sharman,82.8,1950-51,1960-61,24-34,711,,8,32,6.7,15.7,6.7,15.7,,,4.4,5,,,3.9,3,,,,2.7,17.8,0.426,0.426,,0.883,0.497,0.426,G,"BOS,WSC"
156,Dennis Johnson,82.6,1976-77,1989-90,22-35,1100,673,5,32.7,5.3,11.9,5.2,11.5,0.1,0.5,3.4,4.3,1.3,2.5,3.9,5,1.3,0.6,2.4,2.8,14.1,0.445,0.455,0.172,0.797,0.511,0.448,G,"BOS,PHO,SEA"
157,Peja Stojaković,82.6,1998-99,2010-11,21-33,804,665,3,33.5,6,13.3,3.8,7.9,2.2,5.5,2.8,3.1,0.9,3.8,4.7,1.8,0.9,0.1,1.4,1.7,17,0.45,0.484,0.401,0.895,0.577,0.532,F,"DAL,IND,NOH,NOK,SAC,TOR"
158,Dan Issel,82.3,1976-77,1984-85,28-36,718,318,1,31.1,7.6,14.9,7.5,14.8,0,0.2,5.3,6.6,2.3,5.6,7.9,2.5,1,0.6,2,2.8,20.4,0.506,0.508,0.253,0.797,0.572,0.507,C-F,DEN
159,Kevin Willis,81.8,1984-85,2006-07,22-44,1424,891,1,26.9,5,10.2,5,10.1,0,0.1,2.1,3,2.9,5.5,8.4,0.9,0.7,0.5,1.8,2.9,12.1,0.487,0.491,0.211,0.713,0.525,0.488,F-C,"ATL,DAL,DEN,GSW,HOU,MIA,SAS,TOR"
160,Marcus Camby,81.6,1996-97,2012-13,22-38,973,786,0,29.5,3.9,8.3,3.9,8.2,0,0.1,1.8,2.6,2.7,7.1,9.8,1.9,1,2.4,1.4,2.8,9.5,0.466,0.469,0.205,0.67,0.503,0.468,C-F,"DEN,HOU,LAC,NYK,POR,TOR"
161,James Worthy,81.2,1982-83,1993-94,21-32,926,717,7,32.4,7.4,14.3,7.3,13.7,0.1,0.5,2.6,3.4,1.7,3.4,5.1,3,1.1,0.7,2,2.1,17.6,0.521,0.532,0.241,0.769,0.559,0.525,F,LAL
162,Blake Griffin,81.1,2010-11,2022-23,21-33,765,692,6,31.9,7.1,14.4,6.4,12.2,0.7,2.1,4.1,5.9,1.9,6,8,4,0.8,0.5,2.3,2.7,19,0.493,0.522,0.328,0.696,0.559,0.518,F-C,"BOS,BRK,DET,LAC"
163,Zach Randolph,81.1,2001-02,2017-18,20-36,1116,883,2,31,6.7,14.1,6.5,13.5,0.2,0.7,3.1,4.1,2.9,6.2,9.1,1.8,0.7,0.3,2.1,2.4,16.6,0.471,0.481,0.273,0.764,0.522,0.478,F-C,"LAC,MEM,NYK,POR,SAC"
164,Lou Hudson,81,1966-67,1978-79,22-34,890,,6,33.5,8.3,17,8.3,17,,,3.5,4.4,1.2,3.9,4.4,2.7,1.4,0.3,1.6,2.7,20.2,0.489,0.489,,0.797,0.532,0.489,F-G,"ATL,LAL,STL"
165,Isiah Thomas,80.7,1981-82,1993-94,20-32,979,971,12,36.3,7.3,16.2,6.9,14.8,0.4,1.4,4.1,5.4,1,2.6,3.6,9.3,1.9,0.3,3.8,3,19.2,0.452,0.468,0.29,0.759,0.516,0.465,G,DET
166,Bob Dandridge,80.3,1969-70,1981-82,22-34,839,0,4,35.2,7.7,15.9,7.7,15.9,0,0.2,3.1,4,1.7,5.7,6.8,3.4,1.3,0.6,2.7,3.5,18.5,0.484,0.484,0.167,0.78,0.524,0.484,F-G,"MIL,WSB"
167,Carlos Boozer,80.3,2002-03,2014-15,21-33,861,775,2,31.2,6.8,13,6.8,13,0,0,2.6,3.7,2.4,7.1,9.5,2.2,0.9,0.4,2.1,3,16.2,0.521,0.522,0.071,0.722,0.554,0.521,F-C,"CHI,CLE,LAL,UTA"
168,Paul Silas,79.9,1964-65,1979-80,21-36,1254,,2,27.9,3.4,7.9,3.4,7.9,0,0,2.5,3.8,3.6,8.2,9.9,2.1,0.6,0.2,1.4,2.5,9.4,0.432,0.432,,0.673,0.489,0.432,F-C,"ATL,BOS,DEN,PHO,SEA,STL"
169,Marques Johnson,79.8,1977-78,1989-90,21-33,691,359,5,34.3,8.3,16,8.3,15.9,0,0.2,3.5,4.7,2.6,4.3,7,3.6,1.3,0.8,2.4,2.6,20.1,0.518,0.521,0.152,0.739,0.556,0.519,F-G,"GSW,LAC,MIL"
170,Mitch Richmond,79.3,1988-89,2001-02,23-36,976,902,6,35.2,7.5,16.4,6.1,12.9,1.4,3.5,4.7,5.5,0.9,3,3.9,3.5,1.2,0.3,2.6,2.6,21,0.455,0.474,0.388,0.85,0.557,0.497,G,"GSW,LAL,SAC,WAS"
171,Larry Foust,79.2,1950-51,1961-62,22-33,817,,8,29.2,4.7,11.5,4.7,11.5,,,4.4,5.9,,,9.8,1.7,,,,3.6,13.7,0.405,0.405,,0.741,0.485,0.405,C-F,"FTW,MNL,STL"
172,Tom Chambers,79,1981-82,1997-98,22-38,1107,743,4,30.6,6.7,14.2,6.5,13.6,0.2,0.7,4.6,5.7,1.8,4.3,6.1,2.1,0.8,0.6,2.3,3.4,18.1,0.468,0.476,0.307,0.807,0.542,0.476,F-C,"CHH,PHI,PHO,SDC,SEA,UTA"
173,Cedric Maxwell,78.5,1977-78,1987-88,22-32,835,537,0,28.5,4.1,7.5,4.1,7.5,0,0,4.3,5.5,2.5,3.8,6.3,2.2,0.8,0.5,2.2,2.7,12.5,0.546,0.547,0.053,0.784,0.629,0.546,F,"BOS,HOU,LAC"
174,Dan Majerle,78.5,1988-89,2001-02,23-36,955,454,3,31.6,4.1,9.6,2.7,5.6,1.4,4,1.7,2.4,1.2,3.3,4.5,2.9,1.3,0.4,1.2,2,11.4,0.431,0.482,0.358,0.741,0.538,0.505,G-F,"CLE,MIA,PHO"
175,Harry Gallatin,78.4,1948-49,1957-58,21-30,682,,7,31.9,4.1,10.3,4.1,10.3,,,4.7,6.1,,,11.9,1.8,,,,3.1,13,0.398,0.398,,0.773,0.497,0.398,F-C,"DET,NYK"
176,Nikola Vučević,78,2011-12,2024-25,21-34,955,892,2,31.4,7.3,14.8,6.4,12.1,0.9,2.6,1.6,2.1,2.5,8,10.5,2.9,0.8,0.9,1.7,2.4,17.2,0.497,0.53,0.346,0.771,0.548,0.528,C,"CHI,ORL,PHI"
177,Nate Thurmond,78,1963-64,1976-77,22-35,964,77,7,37.2,5.7,13.6,5.7,13.6,,,3.5,5.3,2.8,14.2,15,2.7,0.5,2.1,,2.7,15,0.421,0.421,,0.667,0.47,0.421,C-F,"CHI,CLE,GSW,SFW"
178,Stephon Marbury,77.5,1996-97,2008-09,19-31,846,816,2,37.7,6.8,15.7,5.6,12.1,1.2,3.6,4.5,5.7,0.7,2.3,3,7.6,1.2,0.1,3,2.4,19.3,0.433,0.465,0.325,0.784,0.528,0.47,G,"BOS,MIN,NJN,NYK,PHO"
179,Earl Monroe,77.4,1967-68,1979-80,23-35,926,449,4,32,7.5,16.1,7.5,16.1,0,0,3.9,4.9,0.6,2.7,3,3.9,1,0.3,1.6,2.6,18.8,0.464,0.464,,0.807,0.517,0.464,G,"BAL,NYK"
180,Deron Williams,77.3,2005-06,2016-17,21-32,845,771,3,34.2,5.8,13,4.4,9.1,1.4,3.9,3.4,4.1,0.4,2.7,3.1,8.1,1,0.2,2.8,2.5,16.3,0.445,0.482,0.357,0.822,0.552,0.498,G,"BRK,CLE,DAL,NJN,UTA"
181,Lamar Odom,77,1999-00,2012-13,20-33,961,684,0,33.4,5,10.8,4.3,8.6,0.7,2.2,2.6,3.7,1.9,6.5,8.4,3.7,0.9,0.9,2.3,3,13.3,0.463,0.502,0.312,0.693,0.534,0.495,F,"DAL,LAC,LAL,MIA"
182,Walter Davis,76.9,1977-78,1991-92,23-37,1033,373,6,27.9,7.9,15.4,7.7,14.8,0.2,0.7,3,3.6,0.9,2.1,3,3.8,1.2,0.1,2.5,2.4,18.9,0.511,0.521,0.272,0.851,0.558,0.516,G-F,"DEN,PHO,POR"
183,Brad Miller,76.5,1998-99,2011-12,22-35,868,598,2,28.3,4,8.3,3.7,7.6,0.2,0.7,3,3.8,2,5.2,7.1,2.8,0.7,0.7,1.6,2.7,11.2,0.48,0.494,0.33,0.804,0.564,0.494,C-F,"CHH,CHI,HOU,IND,MIN,SAC"
184,Andre Drummond,76.4,2012-13,2024-25,19-31,898,657,2,26.8,5.3,9.7,5.2,9.5,0,0.1,2,4.1,4.2,8,12.2,1.2,1.3,1.3,1.8,2.9,12.5,0.542,0.549,0.121,0.485,0.544,0.543,C,"BRK,CHI,CLE,DET,LAL,PHI"
185,Gail Goodrich,76.3,1965-66,1978-79,22-35,1031,,5,32.5,7.2,15.8,7.2,15.8,,,4.2,5.2,1.1,2.7,3.2,4.7,1.3,0.2,2.5,2.7,18.6,0.456,0.456,,0.807,0.514,0.456,G,"LAL,NOJ,PHO"
186,David Lee,76,2005-06,2016-17,22-33,829,505,2,29.3,5.5,10.3,5.5,10.3,0,0,2.5,3.2,2.6,6.2,8.8,2.2,0.8,0.4,1.8,2.6,13.5,0.535,0.537,0.034,0.772,0.577,0.536,F-C,"BOS,DAL,GSW,NYK,SAS"
187,Shane Battier,75.7,2001-02,2013-14,23-35,977,705,0,30.7,3.1,7,1.8,3.6,1.3,3.3,1.2,1.6,1.3,2.9,4.2,1.8,1,0.9,0.9,2.3,8.6,0.437,0.486,0.384,0.743,0.559,0.529,F,"HOU,MEM,MIA"
188,Rolando Blackman,75.6,1981-82,1993-94,22-34,980,815,4,32.7,7,14.3,6.8,13.6,0.2,0.7,3.7,4.4,1.1,2.3,3.3,3,0.7,0.3,1.9,1.7,18,0.493,0.501,0.343,0.84,0.555,0.501,G,"DAL,NYK"
189,Kiki Vandeweghe,75.6,1980-81,1992-93,22-34,810,548,2,30.3,7.6,14.4,7.3,13.7,0.3,0.7,4.3,4.9,1.1,2.3,3.4,2.1,0.6,0.3,1.6,1.9,19.7,0.525,0.533,0.368,0.872,0.594,0.534,F,"DEN,LAC,NYK,POR"
190,Andrei Kirilenko,75.4,2001-02,2014-15,20-33,797,546,1,30,3.9,8.3,3.5,6.8,0.5,1.5,3.5,4.6,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2,11.8,0.474,0.51,0.31,0.754,0.571,0.502,F,"BRK,MIN,UTA"
191,Bernard King,75.4,1977-78,1992-93,21-36,874,547,4,33.7,9,17.3,8.9,17.1,0,0.2,4.5,6.2,1.9,3.8,5.8,3.3,1,0.3,3.2,3.3,22.5,0.518,0.521,0.172,0.73,0.561,0.519,F,"GSW,NJN,NYK,UTA,WSB"
192,Dick Van Arsdale,75.2,1965-66,1976-77,22-33,921,198,3,34.5,5.9,12.7,5.9,12.7,,,4.6,5.8,0.7,3.9,4.1,3.3,0.9,0.2,,2.8,16.4,0.464,0.464,,0.79,0.537,0.464,G-F,"NYK,PHO"
193,Byron Scott,75.2,1983-84,1996-97,22-35,1073,717,0,28.1,5.5,11.4,4.8,9.5,0.7,2,2.3,2.8,0.6,2.2,2.8,2.5,1.1,0.3,1.5,1.9,14.1,0.482,0.505,0.37,0.833,0.556,0.514,G,"IND,LAL,VAN"
194,Cliff Hagan,75.1,1956-57,1965-66,25-34,745,,5,29.2,7,15.6,7,15.6,,,4,5,,,6.9,3,,,,3.2,18,0.45,0.45,,0.798,0.507,0.45,F-G,STL
195,Jack Twyman,75,1955-56,1965-66,21-31,823,,6,31.8,7.6,16.9,7.6,16.9,,,4.1,5.3,,,6.6,2.3,,,,3.4,19.2,0.45,0.45,,0.778,0.502,0.45,F-G,"CIN,ROC"
196,Willis Reed,74.9,1964-65,1973-74,22-31,650,613,7,35.5,7.5,15.7,7.5,15.7,,,3.8,5.1,2.5,12.9,12.9,1.8,0.6,1.1,,3.7,18.7,0.476,0.476,,0.747,0.523,0.476,C-F,NYK
197,Don Nelson,74.6,1962-63,1975-76,22-35,1053,,0,20.6,3.8,8,3.8,8,,,2.7,3.6,1.2,4.7,4.9,1.4,0.3,0.1,,2.3,10.3,0.48,0.48,,0.765,0.544,0.48,F,"BOS,CHZ,LAL"
198,Michael Cage,74.4,1984-85,1999-00,23-38,1140,733,0,26.1,2.9,5.7,2.9,5.6,0,0,1.4,2.2,2.8,4.8,7.6,0.9,0.9,0.6,1,2.3,7.3,0.515,0.517,0,0.664,0.549,0.515,F-C,"CLE,LAC,NJN,PHI,SEA"
199,Tobias Harris,74.2,2011-12,2024-25,19-32,955,835,0,31.7,6.2,12.9,4.8,9.2,1.4,3.7,2.4,2.9,1,5.1,6.2,2.4,0.8,0.6,1.4,2,16.1,0.478,0.523,0.366,0.836,0.568,0.53,F,"DET,LAC,MIL,ORL,PHI"
200,Luol Deng,74,2004-05,2018-19,19-33,902,828,2,34.3,5.7,12.5,5,10.3,0.7,2.2,2.7,3.5,1.6,4.4,6.1,2.3,1,0.5,1.6,1.7,14.8,0.456,0.482,0.332,0.769,0.528,0.485,F,"CHI,CLE,LAL,MIA,MIN"
